headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
Atlantic,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,Atlantic,『大西洋の』 / 《the ~》『大西洋』,,『大西洋の』 / 《the ~》『大西洋』,/ətˈlæntɪk/,2517,The Atlantic Ocean is known for its vastness and depth.,大西洋はその広大さと深さで知られています。,2996325
atmosphere,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,atmosphere,"〈C〉《the ~》(地球を取り巻く)大気 / (特定の場所の) 空気 / 雰囲気, 環境, 周囲の状況",,"〈C〉《the ~》(地球を取り巻く)大気 / (特定の場所の) 空気 / 雰囲気, 環境, 周囲の状況",/ˈæt.məs.fɪər/,2522,The atmosphere in the room was tense.,部屋の雰囲気は緊張していた。,2996329
atomic,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,atomic,原子の / 原子力の / 極微の,,原子の / 原子力の / 極微の,/əˈtɒmɪk/,2531,The atomic structure of the material was complex.,その物質の原子構造は複雑だった。,2996336
attach,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attach,"《...に》 ...をつける, を取り付ける 《to ...》 / 《...に》 付属する, 所属する 《to ...》",,"《...に》 ...をつける, を取り付ける 《to ...》 / 《...に》 付属する, 所属する 《to ...》",/əˈtætʃ/,2558,Please attach the document to the email.,メールにドキュメントを添付してください。,2996342
attachment,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attachment,"〈U〉《...への》取り付け, 付着《to ...》〈C〉《...の》付属品《to/for ...》 / 《...への》愛着, 愛情《for ...》",,"〈U〉《...への》取り付け, 付着《to ...》〈C〉《...の》付属品《to/for ...》 / 《...への》愛着, 愛情《for ...》",/əˈtætʃmənt/,2561,Please check the attachment for more details.,詳細は添付ファイルをご確認ください。,2996340
attain,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attain,を達成する；に達する / 《...に》到達する《to》,,を達成する；に達する / 《...に》到達する《to》,/əˈteɪn/,2563,"With hard work and dedication, you can attain your goals.",努力と献身で、あなたは目標を達成することができます。,2996343
attempt,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attempt,"を企てる, を試みる",,"を企てる, を試みる",/əˈtɛmpt/,2569,I will attempt to finish the project by tomorrow.,私は明日までにプロジェクトを終えることを試みます。,2996350
attend,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attend,に出席する  / の世話をする / 《...に》注意する《to》/ 《...に》励む《to》,,に出席する  / の世話をする / 《...に》注意する《to》/ 《...に》励む《to》,/əˈtɛnd/,2571,I will attend the meeting tomorrow.,私は明日、会議に出席します。,2996349
attract,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attract,"(物理的な力で)…'を'引きつける,引き寄せる  / 〈人,人の注意・興味など〉'を'引きつける,誘う",,"(物理的な力で)…'を'引きつける,引き寄せる  / 〈人,人の注意・興味など〉'を'引きつける,誘う",/əˈtrækt/,2594,I'm attracted to him.,私は彼に惹かれている。,68433
attraction,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,attraction,"〈U〉魅力；引きつける力[性質]；〈C〉人を引きつける物[人]； 吸引, 誘引; 引力",,"〈U〉魅力；引きつける力[性質]；〈C〉人を引きつける物[人]； 吸引, 誘引; 引力",/əˈtrækʃən/,2596,"His attraction lies in his character, not his looks.",彼の魅力はルックスではなく性格だ。,41672
authority,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,authority,"〈U〉(地位の持つ,また職能上与えられた)権威,権力,権限,権能  / 〈C〉権力者,権限者;《複数形で》当局,その筋,官庁  / 〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠  / 〈C〉(その道の)大家,権威(expert)《+on+名》",,"〈U〉(地位の持つ,また職能上与えられた)権威,権力,権限,権能  / 〈C〉権力者,権限者;《複数形で》当局,その筋,官庁  / 〈C〉(情報・助言などの)信頼すべき筋,信頼できる根拠;典拠  / 〈C〉(その道の)大家,権威(expert)《+on+名》",/əˈθɔːrəti/,2708,The mayor has the authority to make decisions for the city.,市長には市の決定を下す権限があります。,2996398
auxiliary,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,auxiliary,"補助の,副の《文法》 / 助動詞([[auxiliary verb]])",,"補助の,副の《文法》 / 助動詞([[auxiliary verb]])",/ɔːɡˈzɪljəri/,2762,The teacher provided auxiliary materials to help the students understand the lesson.,先生は補助教材を提供して、生徒たちが授業を理解するのを助けました。,1639830
available,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,available,"利用できる, 役に立つ / (品物・情報などが) 手にはいる / (人が)手があいている / (法律が)効力のある",,"利用できる, 役に立つ / (品物・情報などが) 手にはいる / (人が)手があいている / (法律が)効力のある",/əˈveɪləbəl/,2768,The room is available for rent.,その部屋は賃貸で利用できます。,2996432
avenue,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: House and home, environment",,avenue,"(門から家に向かう)『並木道』 / (都市の)『大通り』,『街路』,…街 / (…に)近づく道(手段)《+『to』+『名』》",,"(門から家に向かう)『並木道』 / (都市の)『大通り』,『街路』,…街 / (…に)近づく道(手段)《+『to』+『名』》",/ˈæv.əˌnjuː/,2783,The avenue leading from the gate to the house was lined with beautiful trees.,門から家へと続く並木道には美しい木々が並んでいた。,2996434
award,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,award,"(審査して) 《...に》 〈賞など〉を与える,を授ける 《to ...》",,"(審査して) 《...に》 〈賞など〉を与える,を授ける 《to ...》",/əˈwɔrd/,2820,The film was awarded the best picture at the festival.,その映画は、フェスティバルで最優秀作品賞を受賞しました。,2996378
aware,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aware,知っている / 気づいている,,知っている / 気づいている,/əˈweər/,2821,I was not aware of the changes until now.,今までその変更に気づかなかった。,2996380
awareness,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,awareness,"〈U〉自覚, 認識 /  《...に》気づいていること《of ...》, 《...であることに》気づいていること《that節》",,"〈U〉自覚, 認識 /  《...に》気づいていること《of ...》, 《...であることに》気づいていること《that節》",/əˈwɛərnəs/,2822,Push marketing attempts to build awareness of a product among the general population.,プッシュ・マーケティングは、一般消費者の間で製品の認知度を高めようとするものである。,2996383
awesome,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,awesome,畏敬の念を起こさせる;恐ろしい / 畏敬の念に満ちた;うやうやしい 素晴らしい,,畏敬の念を起こさせる;恐ろしい / 畏敬の念に満ちた;うやうやしい 素晴らしい,/ˈɔːsəm/,2829,The view from the top of the mountain was absolutely awesome.,山の頂上からの景色は本当に畏敬の念を起こさせるものだった。,1659407
awkward,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,awkward,"気まずい / (人・動作などが) ぶかっこうな, ぎこちない / (物が) 扱いにくい / (状態・問題などが) やっかいな",,"気まずい / (人・動作などが) ぶかっこうな, ぎこちない / (物が) 扱いにくい / (状態・問題などが) やっかいな",/ˈɔːkwərd/,2835,He felt awkward standing alone in the crowded room.,彼は混雑した部屋で一人立っているのが気まずかった。,1628252
babysit,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,babysit,"ベビーシッターをする,子守をする / 世話をする",,"ベビーシッターをする,子守をする / 世話をする",/ˈbeɪbisɪt/,9704874,I am supposed to babysit the children tonight.,私は今夜子供たちの子守りをすることになっています。,71108
babysitter,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,babysitter,留守番の子守り(おもに女子中学生・高校生のアルバイト),,留守番の子守り(おもに女子中学生・高校生のアルバイト),/ˈbeɪbisɪtər/,2946,"My neighbor's daughter, a high school student, works part-time as a babysitter.",私の隣人の娘の高校生は、アルバイトとしてベビーシッターをしています。,2996446
back,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,back,"〈車など〉'を'後退させる  / (…で)〈人・計画など〉'を'後援する,支持する(support)《+名+in+名》 / 後ずさりする,後退する(move backward)",,"〈車など〉'を'後退させる  / (…で)〈人・計画など〉'を'後援する,支持する(support)《+名+in+名》 / 後ずさりする,後退する(move backward)",/bæk/,9702378,She managed to back up through the narrow driveway.,彼女はその狭いドライブウェイを何とかバックで通り抜けた。,18321
backache,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,backache,背の痛み,,背の痛み,/'bæk.eɪk/,2966,I have been suffering from a severe backache since yesterday.,私は昨日からひどい背の痛みに苦しんでいます。,2996451
backpack,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: Shopping",,backpack,背のう(リュックサック・ナップサックなど),,背のう(リュックサック・ナップサックなど),/'bæk.pæk/,2995,I always carry my laptop in my backpack.,私はいつもバックパックにラップトップを入れて持ち歩いています。,2996462
backpacker,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: Leisure activities

Threshold: Travel",,backpacker,バックパッカー,,バックパッカー,/bækˈpækər/,9704875,He has been traveling around different countries as a backpacker.,彼はバックパッカーとしていろいろな国を旅して回っています。,4752175
backpacking,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: Leisure activities

Threshold: Travel",,backpacking,バックパック(を背負っての)旅行,,バックパック(を背負っての)旅行,/bækˈpækɪŋ/,9704876,I stayed at a hostel during my backpacking trip.,私はバックパッキング旅行中にホステルに泊まりました。,1637158
bacon,noun,"CoreInventory_1: Food and drink

CoreInventory 2: 

Threshold: Food and drink",,bacon,『ベーコン』,,『ベーコン』,/'beɪkən/,3028,I love the crispy texture of bacon.,私はベーコンのパリパリした食感が大好きです。,2996476
baggage,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,baggage,〈U〉手荷物 / おてんば娘,,〈U〉手荷物 / おてんば娘,/ˈbæɡɪdʒ/,3063,My baggage is missing.,私の荷物が見つからないんです。,78067
baker,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,baker,"パン屋,パン焼き職人",,"パン屋,パン焼き職人",/ˈbeɪkər/,3092,The baker is preparing fresh bread early in the morning.,パン屋は早朝から新鮮なパンを準備しています。,2996492
bakery,noun,"CoreInventory_1: Things in the town, shops and shopping

CoreInventory 2: 

Threshold: Shopping",,bakery,"パン製造所,パン屋",,"パン製造所,パン屋",/ˈbeɪkəri/,3094,I bought a delicious loaf of bread from the local bakery.,私は地元のパン製造所から美味しいパンを買いました。,2996495
balance,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,balance,"〈C〉天秤,はかり〈U〉〈C〉釣り合い,均衡 / 調和, 残高",,"〈C〉天秤,はかり〈U〉〈C〉釣り合い,均衡 / 調和, 残高",/'bæləns/,3104,The balance of nature is very fragile.,自然界のバランスはとてもこわれやすい。,64362
bald,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bald,"(頭が)『はげた』,(人が)『はげ頭の』 / (山に樹木がなくて)裸の,(木に)葉のない / (文体など)単調な,飾りのない / あからさまな,露骨な;隠し立てのない",,"(頭が)『はげた』,(人が)『はげ頭の』 / (山に樹木がなくて)裸の,(木に)葉のない / (文体など)単調な,飾りのない / あからさまな,露骨な;隠し立てのない",/bɔːld/,3116,My uncle is bald.,私のおじさんははげています。,2996498
bandage,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bandage,包帯,,包帯,/'bændɪdʒ/,3193,I need a bandage for my wound.,私の傷には包帯が必要です。,2996514
bang,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bang,"〈C〉バンという音 /  バンという一撃（強打） /  おかっばにした前髪, 切り下げ前髪 (また《英》fringe)",,"〈C〉バンという音 /  バンという一撃（強打） /  おかっばにした前髪, 切り下げ前髪 (また《英》fringe)",/bæŋ/,3213,The loud bang startled me.,その大きな音に驚いた。,2996517
bang,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bang,"…をバンと打つ, 《...に》...をバンと打ちつける 《on, against, at ...》 / バンと音を立てる /  〈前髪〉を切り下げにする",,"…をバンと打つ, 《...に》...をバンと打ちつける 《on, against, at ...》 / バンと音を立てる /  〈前髪〉を切り下げにする",/bæŋ/,3214,He banged the door in anger.,彼は怒ってドアをばたんと閉めた。,27535
bank account,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,bank account,"銀行勘定,当座預金",,"銀行勘定,当座預金",/bæŋk əˈkaʊnt/,3229,I need to deposit some money into my bank account.,私は自分の銀行勘定にいくらかのお金を預ける必要があります。,2996524
bar,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bar,〈他〉〈戸・門など〉にかんぬきをさす / 〈道・通行など〉を妨げる,,〈他〉〈戸・門など〉にかんぬきをさす / 〈道・通行など〉を妨げる,/bɑːr/,9702382,The heavy rain will likely bar our plans for a picnic.,大雨が私たちのピクニックの計画を妨げる可能性が高いです。,6510295
barbecue,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,barbecue,〈食用肉〉'を'じか火で焼く;…'を'濃く味つけしたソースで料理する,,〈食用肉〉'を'じか火で焼く;…'を'濃く味つけしたソースで料理する,/'bɑr.bɪ.kjuː/,3291,Dad was outside barbecuing in the yard.,父が外の庭でバーベキューをしていた。,3010443
bare,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bare,"裸の,おおいのない / からの/ ありのままの / かろうじての",,"裸の,おおいのない / からの/ ありのままの / かろうじての",/bɛər/,3307,"The baby was sleeping soundly, bare and innocent.",赤ちゃんは、裸で無邪気なまま、ぐっすりと眠っていました。,2996543
barely,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,barely,"ほとんど...ない / かろうじて, わずかに, やっと / むきだしに, あからさまに",,"ほとんど...ない / かろうじて, わずかに, やっと / むきだしに, あからさまに",/ˈbɛərli/,3314,I barely managed to catch the last train.,私はかろうじて最後の電車に乗ることができました。,2996541
bark,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bark,"〈C〉 (犬・アザラシなどの)ほえ声 / どなり声 / 砲声,銃声",,"〈C〉 (犬・アザラシなどの)ほえ声 / どなり声 / 砲声,銃声",/bɑːrk/,240179,The loud bark of the dog startled me.,犬の大きな吠え声にびっくりしました。,6535407
barman,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,barman,〈C〉 (男性の)バーテンダー（[[bartender]]）,,〈C〉 (男性の)バーテンダー（[[bartender]]）,/bɑːrmən/,3337,The barman mixed a delicious cocktail for me.,バーテンダーが私に美味しいカクテルを作ってくれました。,1641227
barrel,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,barrel,"(胴のふくれた)たる  / (…の)1たる[の量]《+of+名》  / 銃身,砲身  / 《単数扱い》(…の)多量《+of+名》《話》",,"(胴のふくれた)たる  / (…の)1たる[の量]《+of+名》  / 銃身,砲身  / 《単数扱い》(…の)多量《+of+名》《話》",/ˈbærəl/,3365,The wine was aged in a large oak barrel.,そのワインは大きなオークのたるで熟成されました。,2996551
base,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,base,"《...に》...の基礎をおく 《on, upon ...》",,"《...に》...の基礎をおく 《on, upon ...》",/beɪs/,9702387,The story is based on fact.,その物語は事実に基づいている。,118734
basement,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: House and home, environment",,basement,"地階,地下室",,"地階,地下室",/ˈbeɪsmənt/,3401,I found an old photo album in the basement.,地階で古い写真アルバムを見つけました。,2996561
basin,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: Shopping",,basin,"たらい,はぢ(bowl);洗面器  / (…の)たらい1杯[分]《+of+名》  / (自然または人工の)水たまり,池  / (川の)流域;くぼ地,盆地  / 入江,内湾,船だまり",,"たらい,はぢ(bowl);洗面器  / (…の)たらい1杯[分]《+of+名》  / (自然または人工の)水たまり,池  / (川の)流域;くぼ地,盆地  / 入江,内湾,船だまり",/ˈbeɪsən/,3413,Please fill the basin with water.,たらいに水を入れてください。,2996566
basis,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,basis,"〈C〉《考えなどの》 基礎 《of, for ...》 / 基準, ...制 / (議論などの) 根拠 / (混合物の)主成分",,"〈C〉《考えなどの》 基礎 《of, for ...》 / 基準, ...制 / (議論などの) 根拠 / (混合物の)主成分",/ˈbeɪsɪs/,3414,The basis of his argument was fundamentally flawed.,彼の議論の基礎は根本的に欠陥があった。,2996569
bat,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bat,〈C〉コウモリ,,〈C〉コウモリ,/bæt/,3449,I saw a bat flying in the night sky.,夜空を飛ぶコウモリを見ました。,3008891
bathe,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bathe,"《米》〈子供など〉を入浴させる / …を浸す,を洗う / 《米》入浴する / 《おもに英》水泳する",,"《米》〈子供など〉を入浴させる / …を浸す,を洗う / 《米》入浴する / 《おもに英》水泳する",/ˈbeɪð/,3460,"Every evening, I bathe my children before they go to bed.",毎晩、子供たちが寝る前に入浴させます。,2996577
battle,noun,"CoreInventory_1: News, lifestyles and current affairs

CoreInventory 2: 

Threshold: Relations with other people",,battle,"〈C〉(個々の)戦闘,戦い;〈U〉戦争  / 〈C〉闘争  / 〈U〉《the~》勝利;成功",,"〈C〉(個々の)戦闘,戦い;〈U〉戦争  / 〈C〉闘争  / 〈U〉《the~》勝利;成功",/ˈbætəl/,3495,The battle was fierce and lasted for hours.,その戦闘は激しく、何時間も続いた。,2996588
beard,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Health and body care",,beard,〈C〉(人や動物の)あごひげ / (一般に)ひげ状のもの,,〈C〉(人や動物の)あごひげ / (一般に)ひげ状のもの,/bɪərd/,3578,He decided to grow a beard.,彼はひげを生やすことに決めました。,2996602
beast,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,beast,"《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》",,"《文》(人間以外の)『動物』,(特に鳥・魚に対して)四足獣;(人間に対する)『けもの』,畜生 / (けもののように)粗暴な人 / 《英話》《~a》(…の)とてもいやなこと(物)《+『of』+『名』》",/bi:st/,3585,The beast in the forest was actually a harmless animal.,森の中の獣は実は無害な動物だった。,2996606
beat,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,beat,"(連続して)…をたたく,打つ([[pound]])  / 《…に》…をたたきつける,打ちつける《against ...》  / 《…に》…をたたいて作る《into ...》;〈金属〉を打ち延ばす  / …を勢いよくかき混ぜる  / 〈リズム・拍子〉を手をたたいてとる  / 〈道〉を踏み固めて作る  / 《話》〈人〉を困らせる  / 〈風・雨・波などが〉《…に》打ちつける《at, against,in,on ...》  / 〈心臓・脈が〉鼓動する,脈打つ  / ドンドン鳴る  / 〈船が〉風に逆らってジグザグに進む  / 打ち負かす",,"(連続して)…をたたく,打つ([[pound]])  / 《…に》…をたたきつける,打ちつける《against ...》  / 《…に》…をたたいて作る《into ...》;〈金属〉を打ち延ばす  / …を勢いよくかき混ぜる  / 〈リズム・拍子〉を手をたたいてとる  / 〈道〉を踏み固めて作る  / 《話》〈人〉を困らせる  / 〈風・雨・波などが〉《…に》打ちつける《at, against,in,on ...》  / 〈心臓・脈が〉鼓動する,脈打つ  / ドンドン鳴る  / 〈船が〉風に逆らってジグザグに進む  / 打ち負かす",/biːt/,3589,He beat the drum continuously.,彼は連続してドラムをたたいた。,2996608
beautifully,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,beautifully,美しく / みごとに,,美しく / みごとに,/bjuːtɪfəli/,3611,The sun sets beautifully over the horizon.,太陽が美しく地平線に沈む。,2996613
because of,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,because of,"(直接的な原因・理由として)～のために,～のせいで",,"(直接的な原因・理由として)～のために,～のせいで",/bɪ'kɔz əv/,9704877,The train was delayed because of snow.,列車は雪のために遅れた。,3482
bedside,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: ",,bedside,寝床の側…(病人の)まくら元 / 寝床のぞばの,,寝床の側…(病人の)まくら元 / 寝床のぞばの,/bɛdˈsaɪd/,3661,She came hurrying to his bedside.,彼女は急いで彼の病床へ駆けつけた。,16331
behalf,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,behalf,味方 / 利益 / 《on ~ of A》 Aの代理で,,味方 / 利益 / 《on ~ of A》 Aの代理で,/bɪˈhɑːf/,3736,I am speaking on behalf of my friend.,私は友人の味方として話しています。,2996643
behave,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,behave,ふるまう / 行儀よくする,,ふるまう / 行儀よくする,/bɪˈheɪv/,3737,You should behave properly in public places.,公共の場所では適切に振る舞うべきです。,2996646
belief,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,belief,"〈U〉信念 / 《...への》信頼《in ...》 / (あるものの真実性・存在を)信じること,容認《in ...》 / 〈U〉〈C〉《...への》信仰《in ...》",,"〈U〉信念 / 《...への》信頼《in ...》 / (あるものの真実性・存在を)信じること,容認《in ...》 / 〈U〉〈C〉《...への》信仰《in ...》",/bɪˈliːf/,3778,His belief in himself has led him to success.,彼自身への信念が彼を成功に導いた。,2996657
beloved,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,beloved,"最愛の,非常に愛されている",,"最愛の,非常に愛されている",/bɪˈlʌvɪd/,3822,My beloved cat is always by my side.,私の最愛の猫はいつも私のそばにいます。,2996668
beneath,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,beneath,"...の下に；...の圧力下に,...に支配されて；...より劣って；...に値しない",,"...の下に；...の圧力下に,...に支配されて；...より劣って；...に値しない",/bɪˈniːθ/,3843,The cat is sleeping peacefully beneath the old oak tree.,その猫は古いオークの木の下で平和に眠っています。,2996674
benefit,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: ",,benefit,"〈C〉〈U〉ためになること(もの),利益,恩恵  / 〈C〉(国家などにより支払われる)給付金,手当  / 〈U〉慈善興行,募金興行",,"〈C〉〈U〉ためになること(もの),利益,恩恵  / 〈C〉(国家などにより支払われる)給付金,手当  / 〈U〉慈善興行,募金興行",/ˈbɛnɪfɪt/,3857,Regular exercise has many benefits for our health.,定期的な運動は私たちの健康に多くの利益をもたらします。,2996679
bent,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bent,"bendの過去・過去分詞 / 曲がった / 《補語にのみ用いて》(…の)決心をした,(…に)熱中した《+on+名(doing)》 / 《英俗》不正直な",,"bendの過去・過去分詞 / 曲がった / 《補語にのみ用いて》(…の)決心をした,(…に)熱中した《+on+名(doing)》 / 《英俗》不正直な",/bɛnt/,3869,Grandmother is bent double with age.,祖母は老齢で腰がくの字に曲がっている。,55087
besides,preposition,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,besides,"...に加えて, ...のほかにも / 《否定文・疑問文で》 ...を除いて, ...以外にも",,"...に加えて, ...のほかにも / 《否定文・疑問文で》 ...を除いて, ...以外にも",/bɪˈsaɪdz/,3917,"Besides studying, I also work part-time.",勉強に加えて、私はアルバイトもしています。,2996689
bet,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bet,〈金・物〉'を'かける  / (かけ事・ゲームなどで)〈人〉‘と'かけをする《+名〈人〉+on+名》  / (…に)かける《+on(against)+名(one's doing)》,,〈金・物〉'を'かける  / (かけ事・ゲームなどで)〈人〉‘と'かけをする《+名〈人〉+on+名》  / (…に)かける《+on(against)+名(one's doing)》,/bɛt/,3947,I wouldn't bet on his success in the competition.,私は彼が大会で成功することに賭けるつもりはない。,2996697
bilingual,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bilingual,2つの言語を話す,,2つの言語を話す,/baɪˈlɪŋɡwəl/,4084,My cousin is bilingual; she can speak both English and Spanish fluently.,私のいとこはバイリンガルで、英語とスペイン語を流暢に話すことができます。,2996732
bill,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bill,…に《…の》勘定書(請求書)を送る《for ...》 / ポスター(ビラ)で宣伝する,,…に《…の》勘定書(請求書)を送る《for ...》 / ポスター(ビラ)で宣伝する,/bɪl/,4088,Please bill us separately.,別々に払います。,9288
bin,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: House and home, environment",,bin,(穀物・石炭などを入れる)ふたつきの大箱  / (れんがなどで仕切った)貯蔵所,,(穀物・石炭などを入れる)ふたつきの大箱  / (れんがなどで仕切った)貯蔵所,/bɪn/,4120,The farmer stored the harvested wheat in a large bin.,農家は収穫した小麦を大きなふたつきの箱に保存した。,2996742
biochemistry,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Education",,biochemistry,生化学,,生化学,/baɪoʊˈkɛmɪstri/,4139,I am studying biochemistry at the university.,私は大学で生化学を勉強しています。,2996743
biography,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,biography,〈C〉伝記 / 経歴 / 《集合的に》伝記文学,,〈C〉伝記 / 経歴 / 《集合的に》伝記文学,/baɪˈɑːɡrəfi/,4148,I am currently reading a fascinating biography of Albert Einstein.,私は現在、アルベルト・アインシュタインの興味深い伝記を読んでいます。,2996748
biology,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Education",,biology,生物学,,生物学,/baɪˈɑlədʒi/,4154,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。,2996750
bishop,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: Personal identification",,bishop,"(新教の)『主教』,『監督』;(カトリック教の)司教;(仏教の)僧正 / (チェスで)ビショップ[のこま]",,"(新教の)『主教』,『監督』;(カトリック教の)司教;(仏教の)僧正 / (チェスで)ビショップ[のこま]",/'bɪʃəp/,4214,The bishop delivered a powerful sermon at the church.,その主教は教会で力強い説教を行った。,1653818
bite,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bite,"をかむ, をかじる / かむ",,"をかむ, をかじる / かむ",/baɪt/,4228,The dog tried to bite the intruder.,その犬は侵入者に噛みつこうとした。,2996767
bitter,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,bitter,"苦い  / つらい　苦しい,きびしい,悲痛な  / (寒気などが)きびしい  / 敵意に満ちた,恨みに思っている  / 冷酷な;しんらつな;彼肉な  / ひどく(bitterly)",,"苦い  / つらい　苦しい,きびしい,悲痛な  / (寒気などが)きびしい  / 敵意に満ちた,恨みに思っている  / 冷酷な;しんらつな;彼肉な  / ひどく(bitterly)",/ˈbɪtər/,4232,This coffee is too bitter.,このコーヒーはにがすぎます。,135517
blame,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,blame,〈U〉責任；非難,,〈U〉責任；非難,/bleɪm/,4325,He tried to put the blame on me.,彼は私に責任を押し付けようとした。,31613
